citycode	countrycode	latitude	longitude
AAA	PF	-17.352500000000003	-145.51
AAC	EG	31.073333333333334	33.83583333333333
AAD	SO	6.096111111111111	46.6375
AAE	DZ	36.82222222222222	7.809166666666666
AAK	KI	0.18527777777777776	173.63694444444442
AAL	DK	57.1	9.85
AAN	AE	24.261666666666667	55.60916666666667
AAP	ID	-0.37305555555555553	117.25083333333333
AAR	DK	56.15	10.216666666666667
AAT	CN	47.75055555555556	88.08583333333333
AAX	BR	-19.563333333333333	-46.96027777777778
AAY	YE	16.19361111111111	52.17305555555555
AAZ	GT	14.863888888888889	-91.52027777777778
ABA	RU	53.74	91.385
ABB	NG	6.203055555555555	6.6672222222222235
ABC	ES	38.994166666666665	-1.8583333333333334
ABD	IR	30.371111111111112	48.22833333333333
ABE	US	40.65222222222222	-75.44083333333333
ABF	KI	1.3816666666666666	173.14749999999998
ABI	US	32.416666666666664	-99.68333333333334
ABJ	CI	5.261388888888889	-3.926388888888889
ABL	US	67.10722222222222	-157.85333333333332
ABM	AU	-10.950833333333332	142.45944444444444
ABQ	US	35.04055555555556	-106.60944444444443
ABR	US	45.453611111111115	-98.42555555555556
ABS	EG	22.375833333333333	31.611666666666668
ABT	SA	20.296111111111113	41.634166666666665
ABU	ID	-9.075	124.9038888888889
ABV	NG	9.006666666666666	7.263055555555556
ABX	AU	-36.06777777777778	146.95805555555555
ABY	US	31.535555555555558	-84.19444444444444
ABZ	GB	57.20416666666667	-2.200277777777778
ACA	MX	16.756944444444443	-99.7538888888889
ACC	GH	5.605277777777777	-0.16666666666666666
ACE	ES	28.945555555555554	-13.605277777777777
ACF	CN	40.44944444444444	81.2675
ACH	CH	47.485	9.560833333333335
ACI	GB	49.706944444444446	-2.215555555555556
ACK	US	41.253055555555555	-70.06027777777777
ACP	IR	37.34805555555556	46.13305555555556
ACT	US	31.616666666666667	-97.23333333333333
ACV	US	40.97805555555556	-124.1086111111111
ACX	CN	25.085555555555555	104.95944444444444
ACY	US	39.36277777777778	-74.4263888888889
ACZ	IR	31.098333333333333	61.54388888888889
ADA	TR	36.98222222222223	35.280277777777776
ADD	ET	8.977777777777778	38.79944444444444
ADE	YE	12.829444444444444	45.028888888888886
ADF	TR	37.731388888888894	38.46888888888889
